source,source_job_id,title,company,location,salary_text,salary_min,salary_max,date_posted,date_scraped,url,description_snippet
indeed,NIMB-0-0-4582,Senior Business Analyst,Nimbus Retail Group,Remote,"$63,000 - $150,000",63000,150000.0,2026-03-28,2026-03-28,https://example-jobboard.test/job/NIMB-0-0-4582,"Join our team and make an impact. We are looking for talented individuals to help drive our business forward. Great culture, competitive pay."
indeed,NIMB-0-0-4582,Senior Business Analyst,Nimbus Retail Group,Remote,"$63,000 - $150,000",63000,150000.0,2026-03-28,2026-04-01,https://example-jobboard.test/job/NIMB-0-0-4582,"Join our team and make an impact. We are looking for talented individuals to help drive our business forward. Great culture, competitive pay."
indeed,NIMB-0-0-4582,Senior Business Analyst,Nimbus Retail Group,Remote,"$63,000 - $150,000",63000,150000.0,2026-03-28,2026-04-06,https://example-jobboard.test/job/NIMB-0-0-4582,"Join our team and make an impact. We are looking for talented individuals to help drive our business forward. Great culture, competitive pay."
indeed,NIMB-0-0-4582,Senior Business Analyst,Nimbus Retail Group,Remote,"$63,000 - $150,000",63000,150000.0,2026-03-28,2026-04-13,https://example-jobboard.test/job/NIMB-0-0-4582,"Join our team and make an impact. We are looking for talented individuals to help drive our business forward. Great culture, competitive pay."
indeed,NIMB-0-0-4582,Senior Business Analyst,Nimbus Retail Group,Remote,"$63,000 - $150,000",63000,150000.0,2026-03-28,2026-04-18,https://example-jobboard.test/job/NIMB-0-0-4582,"Join our team and make an impact. We are looking for talented individuals to help drive our business forward. Great culture, competitive pay."
indeed,NIMB-0-0-4582,Senior Business Analyst,Nimbus Retail Group,Remote,"$63,000 - $150,000",63000,150000.0,2026-03-28,2026-04-25,https://example-jobboard.test/job/NIMB-0-0-4582,"Join our team and make an impact. We are looking for talented individuals to help drive our business forward. Great culture, competitive pay."
indeed,NIMB-0-0-4582,Senior Business Analyst,Nimbus Retail Group,Remote,"$63,000 - $150,000",63000,150000.0,2026-03-28,2026-05-01,https://example-jobboard.test/job/NIMB-0-0-4582,"Join our team and make an impact. We are looking for talented individuals to help drive our business forward. Great culture, competitive pay."
indeed,NIMB-0-0-4582,Senior Business Analyst,Nimbus Retail Group,Remote,"$63,000 - $150,000",63000,150000.0,2026-03-28,2026-05-05,https://example-jobboard.test/job/NIMB-0-0-4582,"Join our team and make an impact. We are looking for talented individuals to help drive our business forward. Great culture, competitive pay."
indeed,NIMB-0-0-4582,Senior Business Analyst,Nimbus Retail Group,Remote,"$63,000 - $150,000",63000,150000.0,2026-03-28,2026-05-10,https://example-jobboard.test/job/NIMB-0-0-4582,"Join our team and make an impact. We are looking for talented individuals to help drive our business forward. Great culture, competitive pay."
indeed,NIMB-0-0-4582,Senior Business Analyst,Nimbus Retail Group,Remote,"$63,000 - $150,000",63000,150000.0,2026-03-28,2026-05-17,https://example-jobboard.test/job/NIMB-0-0-4582,"Join our team and make an impact. We are looking for talented individuals to help drive our business forward. Great culture, competitive pay."
indeed,NIMB-0-0-4582,Senior Business Analyst,Nimbus Retail Group,Remote,"$63,000 - $150,000",63000,150000.0,2026-03-28,2026-05-23,https://example-jobboard.test/job/NIMB-0-0-4582,"Join our team and make an impact. We are looking for talented individuals to help drive our business forward. Great culture, competitive pay."
indeed,NIMB-0-0-4582,Senior Business Analyst,Nimbus Retail Group,Remote,"$63,000 - $150,000",63000,150000.0,2026-03-28,2026-05-29,https://example-jobboard.test/job/NIMB-0-0-4582,"Join our team and make an impact. We are looking for talented individuals to help drive our business forward. Great culture, competitive pay."
remoteok,NIMB-0-1-4527,Senior Business Analyst,Nimbus Retail Group,Remote,"$63,000 - $150,000",63000,150000.0,2026-05-30,2026-05-30,https://example-jobboard.test/job/NIMB-0-1-4527,"Join our team and make an impact. We are looking for talented individuals to help drive our business forward. Great culture, competitive pay."
remoteok,NIMB-0-1-4527,Senior Business Analyst,Nimbus Retail Group,Remote,"$63,000 - $150,000",63000,150000.0,2026-05-30,2026-06-03,https://example-jobboard.test/job/NIMB-0-1-4527,"Join our team and make an impact. We are looking for talented individuals to help drive our business forward. Great culture, competitive pay."
remoteok,NIMB-0-1-4527,Senior Business Analyst,Nimbus Retail Group,Remote,"$63,000 - $150,000",63000,150000.0,2026-05-30,2026-06-07,https://example-jobboard.test/job/NIMB-0-1-4527,"Join our team and make an impact. We are looking for talented individuals to help drive our business forward. Great culture, competitive pay."
remoteok,NIMB-0-1-4527,Senior Business Analyst,Nimbus Retail Group,Remote,"$63,000 - $150,000",63000,150000.0,2026-05-30,2026-06-14,https://example-jobboard.test/job/NIMB-0-1-4527,"Join our team and make an impact. We are looking for talented individuals to help drive our business forward. Great culture, competitive pay."
indeed,NIMB-1-0-2139,Business Systems Analyst,Nimbus Retail Group,"Atlanta, GA","$66,000 - $214,500",66000,214500.0,2026-03-25,2026-03-25,https://example-jobboard.test/job/NIMB-1-0-2139,"Join our team and make an impact. We are looking for talented individuals to help drive our business forward. Great culture, competitive pay."
indeed,NIMB-1-0-2139,Business Systems Analyst,Nimbus Retail Group,"Atlanta, GA","$66,000 - $214,500",66000,214500.0,2026-03-25,2026-03-30,https://example-jobboard.test/job/NIMB-1-0-2139,"Join our team and make an impact. We are looking for talented individuals to help drive our business forward. Great culture, competitive pay."
indeed,NIMB-1-0-2139,Business Systems Analyst,Nimbus Retail Group,"Atlanta, GA","$66,000 - $214,500",66000,214500.0,2026-03-25,2026-04-05,https://example-jobboard.test/job/NIMB-1-0-2139,"Join our team and make an impact. We are looking for talented individuals to help drive our business forward. Great culture, competitive pay."
